Layer Wise Update Enabled,,,
Inference period,6 ms,60 ms,600 ms
Num hidden layers,inference exe time (us),inference exe time (us),inference exe time (us)
5,332.044444,332.082667,332.683556
6,385.284444,385.277333,384.961778
7,438.619556,438.612444,436.362667
8,491.418667,490.812444,491.506667
9,544.767111,544.729778,541.546667
10,592.758222,592.756444,593.807111
11,644.672889,644.652444,644.870222
12,695.613333,695.596444,698.208
13,748.626667,748.611556,748.340444
14,795.173333,795.160889,798.504
15,850.707556,850.702222,849.855111
16,893.492444,893.488,901.832
17,948.964444,948.948444,946.133333
18,991.479111,991.464,996.061333
19,1043.291556,1043.278222,1040.08
20,1086.933333,1086.836444,1091.016
21,1138.847111,1138.843556,1141.182222
22,1186.733333,1186.730667,1186.492444
23,1231.144889,1231.136,1234.448889
24,1274.875556,1274.821333,1276.447111
25,1364.657778,1364.52,1371.436444
26,1478.882667,1478.765333,1482.043556
27,1491.768,1491.719111,1498.630222
28,1487.100444,1487.24,1500.247111
29,1529.227556,1532.423111,1539.448889
30,1655.048,1655.129778,1657.672889
31,1636.467556,1636.547556,1636.123556
32,1693.157333,1693.087111,1697.101333
33,1687.791111,1694.839111,1689.654222
34,1722.472,1722.447111,1710.950222
35,1759.757333,1761.939556,1758.522667
36,1794.620444,1794.607111,1797.969778
37,1840.684444,1841.088889,1837.768889
38,1886.792,1886.778667,1880.231111
39,1920.200889,1920.187556,1916.330667
40,1952.783111,1952.771556,1944.886222
41,1993.013333,1993.166222,1989.214222
42,2037.714667,2039.115556,2031.156444
43,2070.766222,2076.435556,2058.084444
44,2099.086222,2099.074667,2101.973333
45,2139.018667,2138.980444,2140.332444
46,2189.703111,2189.736,2176.753778
47,2215.659556,2215.659556,2210.207111
48,2239.971556,2242.046222,2243.459556
49,2275.928,2275.921778,2279.579556
50,2323.480889,2323.660444,2308.016
51,2345.967111,2345.948444,2348.428444
52,2394.098667,2394.094222,2374.886222
53,2419.32,2418.683556,2415.825778
54,2457.015111,2454.371556,2455.907556
55,2486.152,2483.744,2480.582222
56,2502.468444,2502.458667,2498.991111
57,2529.518222,2529.520889,2548.512
58,2583.476444,2572.591111,2560.462222
59,2611.796444,2611.779556,2601.830222
60,2621.981333,2621.968,2625.986667
61,2656.421333,2656.243556,2658.113778
62,2692.997333,2692.982222,2698.779556
63,2712.571556,2712.584,2714.076444
64,2742.928,2743.010667,2731.912889
65,2792.460444,2792.464,2784.348444
66,2813.739556,2819.499556,2800.216
67,2944.443556,2944.460444,2936.597333
68,2989.559111,2989.584889,2978.058667
69,3149.064,3148.941333,3125.204444
70,2963.873778,2963.922667,2967.609778
71,3037.318222,3025.232,3040.248889
72,3166.350222,3166.847111,3153.721778
73,3348.949333,3348.944,3360.248889
74,3207.772444,3207.720889,3205.916444
75,3201.147556,3200.968,3202.344
76,3106.08,3106.151111,3090.643556
77,3152.480889,3153.313778,3144.060444
78,3183.770667,3177.306667,3163.178667
79,3192.581333,3192.587556,3193.982222
80,3223.800889,3223.853333,3209.467556
81,3276.811556,3289.422222,3266.461333
82,3297.771556,3301.307556,3285.820444
83,3313.824889,3313.826667,3312.364444
84,3340.061333,3340.094222,3345.215111
85,3399.410667,3399.488889,3379.224
86,3416.909333,3416.865778,3406.616
87,3433.059556,3433.053333,3432.136
88,3467.083556,3467.108444,3474.792
89,3517.903111,3517.927111,3507.365333
90,3538.601778,3538.603556,3519.392889
91,3553.041778,3553.04,3551.367111
92,3581.368889,3595.456,3568.135111
93,3642.136,3642.168889,3626.265778
94,3659.648,3659.625778,3646.311111
95,3672.489778,3673.758222,3673.869333
96,3703.896889,3703.671111,3685.768
97,3761.127111,3761.175111,3748.544889
98,3778.791111,3778.772444,3766.823111
99,3793.829333,3793.810667,3787.876444
100,3818.905778,3819.385778,3825.983111